=== Final GESTURE Training with Maximum Regularization ===
Job started: Wed Jul 16 11:23:16 PM EDT 2025
Node: qa-a10-034.crc.nd.edu
Job ID: 1898816
Loading python/3.12.11
  Loading requirement: tcl/8.6.12
=== Environment Check ===
PyTorch version: 2.5.1+cu121
CUDA available: True
GPU: NVIDIA A10
GPU memory: 23.7 GB
✅ Final training environment ready!
=== Starting Final Training ===
/users/akoongbo/miniconda3/envs/hiera-seizure/lib/python3.12/site-packages/torch/optim/lr_scheduler.py:62: UserWarning: The verbose parameter is deprecated. Please use get_last_lr() to access the learning rate.
  warnings.warn(
=== Final GESTURE Dataset Training with Maximum Regularization ===
Device: cuda
GPU: NVIDIA A10
GPU memory: 23.7 GB
Loaded 220 seizures
Train: 54 subjects, 184 seizures
Val: 14 subjects, 36 seizures
Dataset created: 68451 samples from 177 seizures
Class distribution: GTCS=36413, FOS=32038
Dataset created: 7862 samples from 35 seizures
Class distribution: GTCS=4065, FOS=3797
Class weights: tensor([1.0683, 0.9399], device='cuda:0')
Model parameters: 58,371
------------------------------------------------------------
  Batch 7420/8556, Loss: 0.4937
  Batch 7440/8556, Loss: 0.4139
  Batch 7460/8556, Loss: 0.3611
  Batch 7480/8556, Loss: 0.6291
  Batch 7500/8556, Loss: 0.2710
  Batch 7520/8556, Loss: 0.4554
  Batch 7540/8556, Loss: 0.5920
  Batch 7560/8556, Loss: 0.4521
  Batch 7580/8556, Loss: 0.5922
  Batch 7600/8556, Loss: 0.2362
  Batch 7620/8556, Loss: 0.5654
  Batch 7640/8556, Loss: 0.2413
  Batch 7660/8556, Loss: 0.5968
  Batch 7680/8556, Loss: 0.3447
  Batch 7700/8556, Loss: 0.6935
  Batch 7720/8556, Loss: 0.8556
  Batch 7740/8556, Loss: 0.2412
  Batch 7760/8556, Loss: 0.6825
  Batch 7780/8556, Loss: 0.7870
  Batch 7800/8556, Loss: 0.7586
  Batch 7820/8556, Loss: 0.5676
  Batch 7840/8556, Loss: 0.7156
  Batch 7860/8556, Loss: 0.2700
  Batch 7880/8556, Loss: 0.5027
  Batch 7900/8556, Loss: 0.5734
  Batch 7920/8556, Loss: 0.6976
  Batch 7940/8556, Loss: 0.4098
  Batch 7960/8556, Loss: 0.4217
  Batch 7980/8556, Loss: 1.0124
  Batch 8000/8556, Loss: 0.1753
  Batch 8020/8556, Loss: 0.6754
  Batch 8040/8556, Loss: 0.1398
  Batch 8060/8556, Loss: 0.2612
  Batch 8080/8556, Loss: 0.1879
  Batch 8100/8556, Loss: 0.4076
  Batch 8120/8556, Loss: 0.5338
  Batch 8140/8556, Loss: 0.4588
  Batch 8160/8556, Loss: 0.4796
  Batch 8180/8556, Loss: 0.6633
  Batch 8200/8556, Loss: 0.6703
  Batch 8220/8556, Loss: 0.4342
  Batch 8240/8556, Loss: 0.2862
  Batch 8260/8556, Loss: 0.2876
  Batch 8280/8556, Loss: 0.3266
  Batch 8300/8556, Loss: 0.6941
  Batch 8320/8556, Loss: 0.3926
  Batch 8340/8556, Loss: 1.0394
  Batch 8360/8556, Loss: 0.3122
  Batch 8380/8556, Loss: 0.3987
  Batch 8400/8556, Loss: 0.6662
  Batch 8420/8556, Loss: 0.3352
  Batch 8440/8556, Loss: 0.3130
  Batch 8460/8556, Loss: 0.6873
  Batch 8480/8556, Loss: 0.8905
  Batch 8500/8556, Loss: 0.3382
  Batch 8520/8556, Loss: 0.5930
  Batch 8540/8556, Loss: 0.6961
Epoch 1/30 (480.2s)
  Train Loss: 0.6440, Acc: 0.6611
  Val Loss: 0.9503, Acc: 0.5855
  Best Val Acc: 0.5855
  LR: 5.00e-05
------------------------------------------------------------
  Batch 0/8556, Loss: 0.5827
  Batch 20/8556, Loss: 0.5607
  Batch 40/8556, Loss: 0.7996
  Batch 60/8556, Loss: 0.2390
  Batch 80/8556, Loss: 0.7945
  Batch 100/8556, Loss: 0.5705
  Batch 120/8556, Loss: 0.2980
  Batch 140/8556, Loss: 0.3487
  Batch 160/8556, Loss: 0.2973
  Batch 180/8556, Loss: 0.4415
  Batch 200/8556, Loss: 0.2917
  Batch 220/8556, Loss: 0.5078
  Batch 240/8556, Loss: 0.9036
  Batch 260/8556, Loss: 0.1244
  Batch 280/8556, Loss: 0.5962
  Batch 300/8556, Loss: 0.6129
  Batch 320/8556, Loss: 1.0766
  Batch 340/8556, Loss: 0.6790
  Batch 360/8556, Loss: 0.1876
  Batch 380/8556, Loss: 0.3715
  Batch 400/8556, Loss: 0.1185
  Batch 420/8556, Loss: 0.5147
  Batch 440/8556, Loss: 0.7484
  Batch 460/8556, Loss: 0.0931
  Batch 480/8556, Loss: 0.3613
  Batch 500/8556, Loss: 1.1359
  Batch 520/8556, Loss: 0.7622
  Batch 540/8556, Loss: 0.7895
  Batch 560/8556, Loss: 0.3339
  Batch 580/8556, Loss: 0.1109
  Batch 600/8556, Loss: 0.3896
  Batch 620/8556, Loss: 0.3079
  Batch 640/8556, Loss: 0.2158
  Batch 660/8556, Loss: 0.3332
  Batch 680/8556, Loss: 0.4490
  Batch 700/8556, Loss: 1.1327
  Batch 720/8556, Loss: 0.1368
  Batch 740/8556, Loss: 0.5746
  Batch 760/8556, Loss: 0.5139
  Batch 780/8556, Loss: 0.5822
  Batch 800/8556, Loss: 0.4445
  Batch 820/8556, Loss: 0.6202
  Batch 840/8556, Loss: 0.1656
  Batch 860/8556, Loss: 0.1540
  Batch 880/8556, Loss: 0.3633
  Batch 900/8556, Loss: 0.4197
  Batch 920/8556, Loss: 0.2120
  Batch 940/8556, Loss: 0.3440
  Batch 960/8556, Loss: 0.1714
  Batch 980/8556, Loss: 0.0387
  Batch 1000/8556, Loss: 0.4500
  Batch 1020/8556, Loss: 0.2377
  Batch 1040/8556, Loss: 0.5944
  Batch 1060/8556, Loss: 0.2135
  Batch 1080/8556, Loss: 0.3003
